input[45]:1| output[0]:1
input[988]:0| output[997]:0
input[991]:1| output[998]:1
input[994]:0| output[999]:0
input[997]:1| output[1000]:1
input[1000]:0| output[1001]:0
input[1003]:1| output[1002]:1
input[1006]:0| output[1003]:0
input[1009]:0| output[1004]:0
input[1012]:1| output[1005]:1
input[1015]:0| output[1006]:0
input[1018]:0| output[1007]:0
input[1021]:1| output[1008]:1
input[0]:1| output[1009]:1
input[3]:0| output[1010]:0
input[6]:1| output[1011]:1
input[9]:0| output[1012]:0
input[12]:0| output[1013]:0
input[15]:0| output[1014]:0
input[18]:1| output[1015]:1
input[21]:0| output[1016]:0
input[24]:1| output[1017]:1
input[27]:1| output[1018]:1
input[30]:0| output[1019]:0
input[33]:0| output[1020]:0
input[36]:1| output[1021]:1
input[39]:1| output[1022]:1
input[42]:0| output[1023]:0
